component,name,carrier,zone,p_nom_opt,p_nom_min,unit,existing
StorageUnit,battery_existing Z7,battery,Z7,157.9,0,MW,True
StorageUnit,battery_existing Z8,battery,Z8,1342.15,0,MW,True
StorageUnit,battery_existing Z9,battery,Z9,1945.39,0,MW,True
StorageUnit,battery_existing Z10,battery,Z10,589,0,MW,True
StorageUnit,battery_existing Z11,battery,Z11,1054.6,0,MW,True
StorageUnit,battery_existing Z12,battery,Z12,1217.16,0,MW,True
StorageUnit,battery_existing Z13,battery,Z13,1155.92,0,MW,True
StorageUnit,battery_existing Z14,battery,Z14,198.7,0,MW,True
StorageUnit,battery_existing Z15,battery,Z15,1114.98,0,MW,True
StorageUnit,battery_existing Z16,battery,Z16,396.49,0,MW,True
StorageUnit,battery_existing Z17,battery,Z17,244.1,0,MW,True
StorageUnit,pumped_hydro Z1_4,pumped_hydro,Z1_4,300,0,MW,True
StorageUnit,pumped_hydro Z3,pumped_hydro,Z3,440,0,MW,True
StorageUnit,pumped_hydro Z9,pumped_hydro,Z9,2088,0,MW,True
Link,Z1_3-Z1_1,DC,Z1_3->Z1_1,3500,0,MW,True
Link,Z1_3-Z1_2,DC,Z1_3->Z1_2,3500,0,MW,True
Link,Z2-Z1_3,DC,Z2->Z1_3,6000,0,MW,True
Link,Z7-Z2,DC,Z7->Z2,6000,0,MW,True
Link,Z9-Z3,DC,Z9->Z3,8000,0,MW,True
Link,Z1_4-Z1_2,AC,Z1_4->Z1_2,2000,0,MW,True
Link,Z1_4-Z1_3,AC,Z1_4->Z1_3,3000,0,MW,True
Link,Z2-Z1_4,AC,Z2->Z1_4,4000,0,MW,True
Link,Z3-Z2,AC,Z3->Z2,6000,0,MW,True
Link,Z4-Z3,AC,Z4->Z3,8000,0,MW,True
Link,Z5-Z3,AC,Z5->Z3,8000,0,MW,True
Link,Z6-Z5,AC,Z6->Z5,8000,0,MW,True
Link,Z7-Z6,AC,Z7->Z6,8000,0,MW,True
Link,Z8-Z7,AC,Z8->Z7,6000,0,MW,True
Link,Z9-Z7,AC,Z9->Z7,6000,0,MW,True
Link,Z9-Z8,AC,Z9->Z8,6000,0,MW,True
Link,Z10-Z8,AC,Z10->Z8,8000,0,MW,True
Link,Z11-Z9,AC,Z11->Z9,8000,0,MW,True
Link,Z11-Z10,AC,Z11->Z10,8000,0,MW,True
Link,Z12-Z10,AC,Z12->Z10,8000,0,MW,True
Link,Z12-Z11,AC,Z12->Z11,8000,0,MW,True
Link,Z13-Z11,AC,Z13->Z11,5000,0,MW,True
Link,Z13-Z12,AC,Z13->Z12,5000,0,MW,True
